city,count
Acton,0
Adams-Normandie ,
Agoura Hills,6
Agua Dulce,0
Alhambra,8
Alsace ,
Altadena,9
Anaverde,0
Angeles National Forest,0
Angelino Heights,0
Arcadia,6
Arleta,2
Artesia ,
Athens Village,0
Athens-Westmont,5
Atwater Village,0
Avalon,0
Avocado Heights,0
Azusa,1
Baldwin Hills,5
Baldwin Park,0
Bassett,0
Bel Air,6
Bell,4
Bell Gardens,1
Bellflower,10
Beverly Crest,14
Beverly Hills,21
Beverlywood,8
Bouquet Canyon,0
Boyle Heights,8
Bradbury,0
Brentwood,30
Brookside,0
Burbank,7
Cadillac-Corning,0
Calabasas,7
Canoga Park,2
Canyon Country ,
Carson,21
Carthay,7
Castaic,3
Central,2
Century City,6
Century Palms/Cove,3
Cerritos,1
Chatsworth,3
Cheviot Hills ,
Chinatown,0
Claremont,1
Cloverdale/Cochran ,
Commerce,0
Compton,7
Country Club Park ,
Covina,3
Covina ,
Covina (Charter Oak),0
Crenshaw District ,
Crestview,7
Cudahy ,
Culver City,6
Del Aire,0
Del Rey,9
Del Sur,0
Desert View Highlands,0
Diamond Bar,2
Downey,12
Downtown,8
Duarte,0
Eagle Rock,4
East Covina,0
East Hollywood,3
East La Mirada,0
East Lancaster,0
East Los Angeles,6
East Pasadena,0
East Rancho Dominguez,0
East Whittier ,
Echo Park ,
El Camino Village,0
El Monte,0
El Segundo ,
El Sereno,0
Elizabeth Lake,0
Elysian Park ,
Elysian Valley ,
Encino,23
Exposition,0
Exposition Park,2
Faircrest Heights,0
Figueroa Park Square,0
Florence-Firestone,3
Gardena,5
Glassell Park,4
Glendale,29
Glendora,4
Gramercy Place ,
Granada Hills,8
Green Meadows ,
Hacienda Heights,2
Hancock Park,14
Harbor City,1
Harbor Gateway,4
Harbor Pines,0
Harvard Heights ,
Harvard Park,1
Hawaiian Gardens ,
Hawthorne,7
Hawthorne ,
Hermosa Beach ,
Hi Vista,0
Hidden Hills,0
Highland Park,5
Historic Filipinotown,0
Hollywood,30
Hollywood Hills,19
Huntington Park,0
Hyde Park,2
Industry,0
Inglewood,12
Irwindale,0
Jefferson Park,0
Kagel/Lopez Canyons,0
Koreatown,7
La Canada Flintridge,5
La CrescentaMontrose,0
La Habra Heights ,
La Mirada,5
La Puente,1
La Rambla ,
La Verne,1
La Verne ,
Ladera Heights,0
Lafayette Square ,
Lake Balboa,3
Lake Hughes,0
Lake Los Angeles,0
Lake Manor,0
Lakeview Terrace ,
Lakewood,8
Lancaster,18
Lawndale,2
Leimert Park ,
Lennox ,
Leona Valley,0
Lincoln Heights,1
Little Armenia,0
Little Bangladesh,2
Little Tokyo,0
Littlerock,0
Littlerock/Juniper Hills,0
Littlerock/Pearblossom,0
Llano,0
Lomita,0
Long Beach,54
Longwood,0
Los Feliz,6
Lynwood,8
Malibu ,
Manchester Square ,
Mandeville Canyon ,
Manhattan Beach,22
Mar Vista,8
Marina del Rey ,
